anidbid,mal_id,thetvdb_id
1,290,72025
2,300,70973
3,1225,70973
4,396,72025
5,397,72025
6,1124,72025
8,1224,83584
9,831,80980
10,404,78922
11,821,70900
12,59,72070
13,272,78947
14,165,72720
15,144,79107
16,195,79062
17,71,78914
18,569,71279
19,197,83692
20,175,72435
21,122,82677
22,30,70350
23,1,76885
24,48,79099
25,379,72462
26,153,74125
27,49,78920
29,51,81886
30,156,70865
32,270,71278
33,260,74544
34,120,78900
35,189,70861
36,637,82719
38,556,80790
39,534,77681
40,1251,81789
42,678,72412
43,405,78960
44,2356,94701
45,650,82699
46,800,82024
47,168,78953
48,1057,79445
49,190,70861
50,285,78910
51,191,70861
52,192,70861
53,6,77680
54,403,80654
55,377,73571
56,22,73532
58,1177,79239
59,1952,82119
60,318,72470
61,43,73749
62,1191,81694
63,201,79777
65,564,79714
66,543,79042
67,474,81832
68,1347,73247
69,21,81797
70,306,73616
71,,71279
72,1599,87941
73,44,70863
74,53,79267
75,200,84011
76,635,73703
77,1088,73038
79,1045,72447
80,1046,72447
81,563,80407
82,992,79996
84,135,72905
85,1005,79145
86,419,78933
87,123,71444
88,554,80790
89,555,80790
90,45,70863
91,127,78918
92,154,79857
93,509,72792
94,243,80456
95,535,77681
96,7,78936
97,1444,80443
98,33,73752
99,339,78814
100,105,79566
101,1775,74539
102,232,70668
103,1145,74462
105,208,82319
106,66,79077
107,812,80113
108,383,79289
109,276,79035
111,1080,74924
113,529,79798
114,160,79520
115,816,84957
116,289,80787
117,227,78878
118,1734,115891
119,,103941
120,361,253938
121,991,254020
122,1102,82031
123,866,77681
124,231,153641
125,246,72973
126,183,84538
127,,71634
128,1596,158861
129,263,79685
130,785,210041
131,104,78262
132,136,79076
133,296,79468
134,2781,89791
135,185,70900
136,675,120181
137,206,78777
138,818,94611
139,1944,86921
140,630,79078
141,629,79078
142,718,120081
143,646,72432
144,249,71361
145,186,70900
146,1710,71682
147,1016,79295
148,959,79658
149,870,91911
150,1060,73492
151,1630,120071
153,1087,78923
155,1170,77681
156,1157,78913
157,337,82026
158,,128501
160,1127,81477
161,687,74598
162,2361,70525
163,380,71444
164,381,71444
165,124,71444
166,937,245451
167,373,351514
168,1036,120101
169,207,78777
170,52,78909
171,400,75911
172,1384,70862
173,137,79076
175,682,180111
177,180,71744
178,181,71744
179,369,71742
180,218,71313
181,338,80504
183,2362,302201
184,182,77248
185,949,81073
186,303,79411
187,952,75982
190,1022,81169
191,245,79071
192,593,72393
193,,76932
194,1188,196721
195,401,70863
197,432,82706
198,1233,120031
199,145,72444
201,277,79035
202,32,70350
203,580,80053
204,732,79042
205,539,80009
206,304,78920
207,115,152531
208,117,152531
209,326,82970
210,979,75534
211,1358,79156
213,1228,72445
214,,79446
215,2497,84785
216,1460,81736
217,81,80784
219,5,76885
221,841,93251
222,299,79099
223,1226,82443
224,1163,89771
225,1126,81725
226,446,72922
227,1846,72433
228,253,79050
229,90,79327
230,527,76703
231,223,76666
233,225,79275
234,552,72241
235,530,78500
236,493,81997
237,492,81997
238,3369,232991
239,20,78857
240,782,72726
241,1065,83105
242,382,85068
245,341,79059
246,604,89781
247,467,73749
248,128,78918
249,,349691
250,2097,120201
251,274,72471
252,93,254931
253,888,72719
256,441,79449
258,615,79109
259,652,79289
260,653,79289
262,1462,294395
263,887,72719
264,3437,144801
265,2820,291921
